# Dinsmoor. William Bell. 1931. The Archons of Athens in the Hellenistic Age.
# Cambridge: Harvard University Press.
# http://archive.org/details/archonsofathensi0000dins.
432 July  15 + He
    Feb.   6 + Ga
    March  8 - An
    April  6 + El
    May    6 - Mo
    June   4 + Th
    July   4 - Sk
    Aug.   2 + He
    Sept.  1 - Me
    Sept. 30 + Bo
    Oct.  30 + Py
    Nov.  29 - Ma
    Dec.  28 + Po
229 Jan.  27 - Ga
    Feb.  25 + An
    March 26 - El
    April 24 + Mo
    May   24 - Th
    June  22 + Sk
    July  22 - He
    Aug.  20 + Me
    Sept. 19 - Me*
    Oct.  18 + Bo
    Nov.  17 - Py
    Dec.  16 + Ma
228 Jan.  15 - Po
    Feb.  13 + Ga
    March 15 + An
    April 14 - El
    May   13 + Mo
    June  12 - Th
    July  14 + Sk
    Aug.  10 - He
    Sept.  8 + Me
    Oct.   8 - Bo
    Nov.   6 + Py
    Dec.   6 - Ma
227 Jan.   4 + Po
    Feb.   3 - Ga
    March  4 + An
    April  3 - El
    May    2 + Mo
    June   1 + Th
    July   1 - Sk
    July  30 + He
    Aug.  29 - Me
    Sept. 27 + Bo
    Oct.  27 - Py
    Nov.  25 + Ma
    Dec.  25 - Po
226 Jan.  23 + Ga
    Feb.  22 - An
    March 23 + El
    April 22 - Mo
    May   21 + Th
    June  20 - Sk
    July  19 + He
    Aug.  18 - Me
    Sept. 16 + Bo
    Oct.  16 + Py
    Nov.  15 - Ma
    Dec.  14 + Po
225 Jan.  13 - Po
    Feb.  11 + Ga
    March 12 - An
    April 10 + El
    May   10 - Mo
    June   8 + Th
    July   8 - Sk
    Aug.   6 + He
    Sept.  5 - Me
    Oct.   4 + Bo
    Nov.   3 - Py
    Dec.   2 + Ma
224 Jan.   1 + Po
    Jan.  31 - Ga
    March  1 + An
    March 31 - El
    April 29 + Mo
    May   29 - Th
    June  27 + Sk
    July  27 - He
    Aug.  25 + Me
    Sept. 24 - Bo
    Oct.  23 + Py
    Nov.  22 - Ma
    Dec.  21 + Po
223 Jan.  20 - Ga
    Feb.  18 + An
    March 20 - El
    April 18 + Mo
    May   18 - Th
    June  16 + Sk
    July  16 + He
    Aug.  15 - Me
    Sept. 13 + Bo
    Oct.  13 - Py
    Nov.  11 + Ma
    Dec.  11 - Po
222 Jan.   9 +
    Feb.   8 -
    March  9 +
    April  8 +
    May    8 -
    June   6 +
    July   6 -
    Aug.   4 +
    Sept.  3 -
    Oct.   2 +
    Nov.   1 -
    Nov.  30 +
    Dec.  30 -
221 Jan.  28 +
    Feb.  27 -
    March 27 +
    April 26 -
    May   25 +
    June  24 +
    July  24 -
    Aug.  22 +
    Sept. 21 -
    Oct.  20 +
    Nov.  19 -
    Dec.  18 +
220 Jan.  17 -
    Feb.  15 +
    March 17 -
    April 15 +
    May   15 -
    June  13 +
    July  13 -
    Aug.  11 +
    Sept. 10 -
    Oct.   9 +
    Nov.   8 +
    Dec.   8 -
219 Jan.   6 +
    Feb.   5 -
    March  6 +
    April  5 -
    May    4 +
    June   3 -
    July   2 +
    Aug.   1 -
    Aug.  30 +
    Sept. 29 -
    Oct.  28 +
    Nov.  27 -
    Dec.  26 +
218 Jan.  25 +
    Feb.  24 -
    March 25 +
    April 24 -
    May   23 +
    June  22 -
    July  21 +
    Aug.  20 -
    Sept. 18 +
    Oct.  18 -
    Nov.  16 +
    Dec.  16 -
217 Jan.  14 +
    Feb.  13 -
    March 13 +
    April 12 -
    May   11 +
    June  10 +
    July  10 -
    Aug.   8 +
    Sept.  7 -
    Oct.   6 +
    Nov.   5 -
    Dec.   4 +
216 Jan.   3 -
    Feb.   1 +
    March  3 -
    April  1 +
    May    1 -
    May   30 +
    June  29 -
    July  28 +
    Aug.  27 +
    Sept. 26 -
    Oct.  25 +
    Nov.  24 -
    Dec.  23 +
215 Jan.  22 -
    Feb.  20 +
    March 22 -
    April 20 +
    May   20 -
    June  18 +
    July  18 -
    Aug.  16 +
    Sept. 15 -
    Oct.  14 +
    Nov.  13 -
    Dec.  12 +
214 Jan.  11 +
    Feb.  10 -
    March 11 +
    April 10 -
    May    9 +
    June   8 -
    July   7 +
    Aug.   6 -
    Sept.  4 +
    Oct.   4 -
    Nov.   2 +
    Dec.   2 -
    Dec.  31 +
213 Jan.  30 -
    Feb.  28 +
    March 29 +
    April 28 -
    May   27 +
    June  26 -
    July  25 +
    Aug.  24 -
    Sept. 22 +
    Oct.  22 -
    Nov.  20 +
    Dec.  20 - Po
212 Jan.  18 + Ga
    Feb.  17 - An
    March 18 + El
    April 17 - Mo
    May   16 + Th
    June  15 - Sk
    July  14 + He
    Aug.  13 + Me
    Sept. 12 - Bo
    Oct.  11 + Py
    Nov.  10 - Ma
    Dec.   9 + Po
211 Jan.   8 - Ga
    Feb.   6 + An
    March  8 - El
    April  6 + Mo
    May    6 - Th
    June   4 + Sk
    July   4 - He
    Aug.   2 + Me
    Sept.  1 - Bo
    Sept. 30 + Py
    Oct.  30 + Ma
    Nov.  29 - Po
    Dec.  28 + Po
210 Jan.  27 - Ga
    Feb.  25 + An
    March 27 - El
    April 25 + Mo
    May   25 - Th
    June  23 + Sk
    July  23 - He
    Aug.  21 + Me
    Sept. 20 - Bo
    Oct.  19 + Py
    Nov.  18 - Ma
    Dec.  17 + Po
209 Jan.  16 - Ga
    Feb.  14 + An
    March 15 + El
    April 14 - Mo
    May   13 + Th
    June  12 - Sk
    July  11 + He
    Aug.  10 - Me
    Sept.  8 + Bo
    Oct.   8 - Py
    Nov.   6 + Ma
    Dec.   6 - Po
