"year"	"year_bce"	"intercalary"	"begins"	"ends"	"length"	"solstice"	"months"	"month_lengths"	"prytanies"
-350	"351/350 BCE"	"O"	"BCE 0351-Jul-22"	"BCE 0350-Jul-10"	354	"BCE 0351-Jun-28"	"Jul-22 Aug-20 Sep-19 Oct-18 Nov-17 Dec-16 Jan-15 Feb-13 Mar-15 Apr-13 May-13 Jun-11"	"hFhFhFhFhFhF"	"Jul-22 Aug-27 Oct-02 Nov-07 Dec-13 Jan-17 Feb-21 Mar-28 May-02 Jun-06"
-349	"350/349 BCE"	"O"	"BCE 0350-Jul-11"	"BCE 0349-Jun-28"	354	"BCE 0350-Jun-28"	"Jul-11 Aug-10 Sep-08 Oct-08 Nov-06 Dec-06 Jan-04 Feb-03 Mar-03 Apr-02 May-01 May-30"	"FhFhFhFhFhhF"	"Jul-11 Aug-16 Sep-21 Oct-27 Dec-02 Jan-06 Feb-10 Mar-16 Apr-20 May-25"
-348	"349/348 BCE"	"I"	"BCE 0349-Jun-29"	"BCE 0348-Jul-17"	384	"BCE 0349-Jun-27"	"Jun-29 Jul-29 Aug-27 Sep-26 Oct-26 Nov-24 Dec-24 Jan-22 Feb-21 Mar-22 Apr-21 May-20 Jun-18"	"FhFFhFhFhFhhF"	"Jun-29 Aug-07 Sep-15 Oct-24 Dec-02 Jan-09 Feb-16 Mar-26 May-03 Jun-10"
-347	"348/347 BCE"	"O"	"BCE 0348-Jul-18"	"BCE 0347-Jul-06"	354	"BCE 0348-Jun-27"	"Jul-18 Aug-16 Sep-15 Oct-15 Nov-14 Dec-13 Jan-12 Feb-11 Mar-12 Apr-10 May-10 Jun-08"	"hFFFhFFhhFhh"	"Jul-18 Aug-23 Sep-28 Nov-03 Dec-09 Jan-13 Feb-17 Mar-24 Apr-28 Jun-02"
-346	"347/346 BCE"	"I"	"BCE 0347-Jul-07"	"BCE 0346-Jul-25"	384	"BCE 0347-Jun-28"	"Jul-07 Aug-06 Sep-04 Oct-04 Nov-03 Dec-02 Jan-01 Jan-31 Mar-01 Mar-31 Apr-29 May-29 Jun-27"	"FhFFhFFhFhFhh"	"Jul-07 Aug-15 Sep-23 Nov-01 Dec-10 Jan-17 Feb-24 Apr-03 May-11 Jun-18"
-345	"346/345 BCE"	"O"	"BCE 0346-Jul-26"	"BCE 0345-Jul-14"	355	"BCE 0346-Jun-28"	"Jul-26 Aug-25 Sep-23 Oct-23 Nov-21 Dec-21 Jan-20 Feb-19 Mar-19 Apr-18 May-17 Jun-16"	"FhFhFFFhFhFh"	"Jul-26 Aug-31 Oct-06 Nov-11 Dec-17 Jan-21 Feb-25 Mar-31 May-05 Jun-09"
-344	"345/344 BCE"	"O"	"BCE 0345-Jul-15"	"BCE 0344-Jul-04"	355	"BCE 0345-Jun-27"	"Jul-15 Aug-13 Sep-12 Oct-11 Nov-10 Dec-09 Jan-08 Feb-07 Mar-08 Apr-07 May-07 Jun-05"	"hFhFhFFhFFhF"	"Jul-15 Aug-20 Sep-25 Oct-31 Dec-06 Jan-10 Feb-14 Mar-21 Apr-25 May-30"
-343	"344/343 BCE"	"I"	"BCE 0344-Jul-05"	"BCE 0343-Jul-22"	383	"BCE 0344-Jun-27"	"Jul-05 Aug-03 Sep-01 Oct-01 Oct-30 Nov-29 Dec-28 Jan-27 Feb-25 Mar-27 Apr-26 May-25 Jun-24"	"hhFhFhFhFFhFh"	"Jul-05 Aug-13 Sep-21 Oct-30 Dec-08 Jan-15 Feb-22 Apr-01 May-09 Jun-16"
-342	"343/342 BCE"	"O"	"BCE 0343-Jul-23"	"BCE 0342-Jul-12"	355	"BCE 0343-Jun-28"	"Jul-23 Aug-22 Sep-20 Oct-20 Nov-18 Dec-18 Jan-16 Feb-15 Mar-16 Apr-15 May-14 Jun-13"	"FhFhFhFhFhFF"	"Jul-23 Aug-28 Oct-03 Nov-08 Dec-14 Jan-18 Feb-22 Mar-29 May-03 Jun-07"
-341	"342/341 BCE"	"O"	"BCE 0342-Jul-13"	"BCE 0341-Jun-30"	354	"BCE 0342-Jun-28"	"Jul-13 Aug-11 Sep-10 Oct-09 Nov-08 Dec-07 Jan-06 Feb-04 Mar-05 Apr-03 May-03 Jun-01"	"hFhFhFhFhFhF"	"Jul-13 Aug-18 Sep-23 Oct-29 Dec-04 Jan-08 Feb-12 Mar-18 Apr-22 May-27"
-340	"341/340 BCE"	"I"	"BCE 0341-Jul-01"	"BCE 0340-Jul-18"	383	"BCE 0341-Jun-27"	"Jul-01 Jul-30 Aug-29 Sep-28 Oct-27 Nov-26 Dec-25 Jan-24 Feb-22 Mar-24 Apr-22 May-21 Jun-20"	"hFFhFhFhFhhFh"	"Jul-01 Aug-09 Sep-17 Oct-26 Dec-04 Jan-11 Feb-18 Mar-28 May-05 Jun-12"
